Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,
WAYMO LLC,AVT003,1/20/2021,2C4RC1K75HR786121,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,1/23/2021,2C4RC1K75HR805489,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/23/2021,2C4RC1K75HR695706,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/26/2021,2C4RC1K76HR822205,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/26/2021,SADHW2S1XM1602699,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,1/26/2021,SADHW2S1XM1602637,No,Yes,AV System,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/27/2021,2C4RC1K75HR797295,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/27/2021,2C4RC1K73HR797358,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,1/27/2021,SADHW2S14M1602682,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,1/29/2021,SADHW2S15M1602691,No,Yes,AV System,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/3/2021,2C4RC1K73HR534691,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,2/4/2021,2C4RC1K78HR797355,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,2/6/2021,SADHW2S1XM1602637,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/10/2021,2C4RC1K71HR797343,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/10/2021,SADHW2S11M1602641,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/10/2021,SADHW2S19M1606128,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/11/2021,SADHW2S11M1602669,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/16/2021,2C4RC1K79HR833778,No,Yes,Test Driver,Freeway,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,2/18/2021,2C4RC1K72HR797318,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/20/2021,2C4RC1K7XHR797325,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/21/2021,SADHW2S16M1602702,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/22/2021,SADHW2S1XM1602671,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,2/23/2021,2C4RC1K78HR695697,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,2/23/2021,2C4RC1K74HR805466,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/23/2021,SADHW2S18M1606251,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,2/25/2021,SADHW2S11M1602669,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/25/2021,SADHW2S16M1606233,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,2/25/2021,SADHW2S16M1605972,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,3/5/2021,SADHW2S16M1602702,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,3/7/2021,2C4RC1K7XHR695698,No,Yes,Test Driver,Street,Disengage for incorrect behavior prediction of other traffic participants,
WAYMO LLC,AVT003,3/19/2021,2C4RC1K74HR805466,No,Yes,AV System,Street,Disengage for a hardware discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a hardware component of the self-driving system or a component of the base vehicle,
WAYMO LLC,AVT003,3/24/2021,2C4RC1K7XHR833787,No,Yes,Test Driver,Street,Disengage for incorrect behavior prediction of other traffic participants,
WAYMO LLC,AVT003,3/24/2021,SADHW2S12M1606200,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/24/2021,SADHW2S14M1606375,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,3/27/2021,SADHW2S1XM1602671,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/27/2021,SADHW2S1XM1602671,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/27/2021,SADHW2S1XM1602671,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/27/2021,SADHW2S1XM1602671,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/27/2021,SADHW2S1XM1602671,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/28/2021,SADHW2S1XM1602735,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,3/30/2021,SADHW2S19M1606128,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,3/31/2021,2C4RC1K74HR805497,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/2/2021,SADHW2S13M1602673,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/2/2021,SADHW2S13M1602673,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/2/2021,2C4RC1K7XHR833885,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/2/2021,2C4RC1K76HR805467,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,4/4/2021,SADHW2S17M1602689,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/4/2021,SADHW2S11M1602686,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/5/2021,SADHW2S11M1602641,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/8/2021,2C4RC1K77HR534662,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,4/9/2021,2C4RC1K79HR824255,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,4/9/2021,2C4RC1K7XHR695698,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,4/10/2021,SADHW2S14M1606182,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/10/2021,SADHW2S15M1602660,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/12/2021,SADHW2S17M1602689,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/13/2021,SADHW2S1XM1602587,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/13/2021,2C4RC1K75HR695706,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,4/14/2021,SADHW2S19M1602676,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/14/2021,SADHW2S16M1602702,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/15/2021,SADHW2S15M1602660,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/18/2021,SADHW2S18M1606251,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/18/2021,SADHW2S14M1606182,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/19/2021,SADHW2S19M1602659,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/19/2021,SADHW2S19M1602659,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/19/2021,SADHW2S12M1602664,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/19/2021,SADHW2S1XM1602735,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/20/2021,SADHW2S19M1606128,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/20/2021,SADHW2S14M1602679,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/20/2021,SADHW2S17M1606211,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/21/2021,SADHW2S12M1602664,No,Yes,Test Driver,Street,Disengage for incorrect behavior prediction of other traffic participants,
WAYMO LLC,AVT003,4/22/2021,SADHW2S19M1602614,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/22/2021,2C4RC1K78HR797324,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,4/23/2021,SADHW2S1XM1602637,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/25/2021,SADHW2S12M1606200,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/26/2021,SADHW2S18M1606251,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/26/2021,SADHW2S1XM1606137,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/26/2021,SADHW2S19M1602614,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/27/2021,SADHW2S11M1602073,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/27/2021,SADHW2S15M1602688,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/27/2021,2C4RC1K73HR833808,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,4/28/2021,SADHW2S1XM1602735,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/28/2021,SADHW2S11M1606219,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/29/2021,SADHW2S16M1606233,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/29/2021,SADHW2S15M1602660,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,4/30/2021,SADHW2S18M1602703,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,4/30/2021,SADHW2S18M1602703,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/1/2021,SADHW2S1XM1602699,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/2/2021,SADHW2S18M1606251,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/4/2021,SADHW2S12M1606200,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,5/4/2021,SADHW2S16M1606233,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/4/2021,SADHW2S12M1602664,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/5/2021,SADHW2S17M1606211,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/5/2021,SADHW2S11M1606219,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/5/2021,SADHW2S11M1606219,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/6/2021,SADHW2S1XM1602637,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/6/2021,SADHW2S11M1602610,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,5/6/2021,SADHW2S13M1606173,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/6/2021,SADHW2S19M1606128,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/7/2021,SADHW2S15M1602660,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/7/2021,SADHW2S1XM1602735,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,5/8/2021,SADHW2S19M1602659,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,5/8/2021,SADHW2S16M1606233,No,Yes,AV System,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,5/8/2021,SADHW2S14M1602701,No,Yes,AV System,Highway,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,5/8/2021,SADHW2S1XM1606137,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,5/9/2021,SADHW2S13M1606173,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/10/2021,SADHW2S17M1606225,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/10/2021,SADHW2S15M1602660,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/11/2021,2C4RC1K7XHR827262,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,5/11/2021,SADHW2S14M1602679,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/11/2021,SADHW2S15M1606157,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/12/2021,SADHW2S14M1614721,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/12/2021,SADHW2S11M1602686,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/13/2021,SADHW2S11M1602672,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/17/2021,SADHW2S10M1602680,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/18/2021,SADHW2S16M1602702,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/18/2021,SADHW2S15M1606157,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/18/2021,SADHW2S19M1606128,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/20/2021,SADHW2S18M1602703,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/23/2021,SADHW2S10M1614764,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,5/24/2021,SADHW2S1XM1602735,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/25/2021,2C4RC1K70HR833796,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,5/26/2021,SADHW2S14M1606182,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/26/2021,SADHW2S14M1606182,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/26/2021,SADHW2S1XM1602699,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/28/2021,SADHW2S18M1602698,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/31/2021,SADHW2S1XM1602699,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/31/2021,SADHW2S12M1602664,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,5/31/2021,SADHW2S17M1606225,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/31/2021,SADHW2S11M1602610,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,5/31/2021,SADHW2S18M1606251,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/1/2021,SADHW2S15M1605896,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/1/2021,SADHW2S11M1602610,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/2/2021,SADHW2S15M1606157,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/2/2021,SADHW2S14M1606375,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,6/3/2021,2C4RC1K79HR833859,No,Yes,Test Driver,Street,Disengage for incorrect behavior prediction of other traffic participants,
WAYMO LLC,AVT003,6/3/2021,SADHW2S18M1606251,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/4/2021,SADHW2S11M1606219,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,6/4/2021,SADHW2S15M1605896,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/5/2021,SADHW2S1XM1605876,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/5/2021,SADHW2S13M1606173,No,Yes,Test Driver,Street,Disengage for unwanted maneuver of the vehicle that was undesirable under the circumstances,
WAYMO LLC,AVT003,6/5/2021,SADHW2S15M1605896,No,Yes,AV System,Highway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/7/2021,SADHW2S19M1602676,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/7/2021,SADHW2S18M1602698,No,Yes,Test Driver,Street,Disengage for a recklessly behaving road user,
WAYMO LLC,AVT003,6/8/2021,SADHW2S11M1602073,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/9/2021,SADHW2S15M1602660,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/9/2021,SADHW2S15M1602660,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/9/2021,SADHW2S15M1606191,No,Yes,AV System,Freeway,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/10/2021,SADHW2S11M1602641,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/10/2021,SADHW2S19M1606128,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/12/2021,SADHW2S1XM1615176,No,Yes,Test Driver,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/13/2021,SADHW2S14M1606375,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/14/2021,SADHW2S16M1615823,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/14/2021,SADHW2S11M1606219,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/14/2021,SADHW2S15M1602688,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/14/2021,SADHW2S15M1606157,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/15/2021,SADHW2S11M1606219,No,Yes,Test Driver,Street,Disengage for a perception discrepancy for which a component of the vehicle's perception system failed to detect an object correctly,
WAYMO LLC,AVT003,6/15/2021,SADHW2S14M1614735,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/16/2021,SADHW2S1XM1602637,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
WAYMO LLC,AVT003,6/16/2021,SADHW2S1XM1606137,No,Yes,AV System,Street,Disengage for a software discrepancy for which our vehicle's diagnostics received a message indicating a potential performance issue with a software component,
